Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
A	0.51	0.484	2017-05-22	2016-11-28	2017-11-09
AA	0.41	0.581	2017-07-19	2017-01-26	2018-01-09
AAL	1.76	1.872	2017-07-28	2017-02-06	2018-01-19
AAP	1.18	1.659	2017-08-15	2017-02-23	2018-02-06
AAPL	2.11	2.022	2017-05-02	2016-11-07	2017-10-20
ABBV	1.2	1.399	2017-07-28	2017-02-06	2018-01-19
ABC	1.89	1.679	2017-05-04	2016-11-09	2017-10-24
ABMD	0.21	0.244	2016-10-27	2016-05-09	2017-04-21
ABT	0.16	0.605	2017-07-20	2017-01-27	2018-01-10
ACGL	0.43	0.391	2017-07-26	2017-02-02	2018-01-17
ACHC	0.57	0.648	2017-07-27	2017-02-03	2018-01-18
ACM	0.66	0.608	2017-05-09	2016-11-14	2017-10-27
ACN	1.35	1.299	2017-03-23	2016-09-29	2017-09-13
ADBE	0.76	0.946	2017-06-20	2016-12-27	2017-12-08
ADI	0.27	0.844	2017-05-31	2016-12-06	2017-11-17
ADM	0.48	0.516	2017-08-01	2017-02-08	2018-01-23
ADNT	2.03	2.408	2017-04-28	2016-11-03	2017-10-18
ADP	1.14	0.813	2017-02-01	2016-08-10	2017-07-25
ADS	2.48	3.728	2017-07-20	2017-01-27	2018-01-10
ADSK	-0.44	-0.134	2016-08-25	2016-03-07	2017-02-16
AEE	0.79	0.71	2017-08-04	2017-02-13	2018-01-26
AEP	0.76	0.816	2017-07-27	2017-02-03	2018-01-18
AES	0.08	0.208	2017-08-08	2017-02-15	2018-01-30
AFG	1.64	1.31	2017-08-01	2017-02-08	2018-01-23
AFL	0.9	0.821	2017-07-27	2017-02-03	2018-01-18
AGCO	1.15	1.039	2017-07-27	2017-02-03	2018-01-18
AGIO	-1.78	-1.558	2017-08-08	2017-02-15	2018-01-30
AGN	-2.37	3.919	2017-08-03	2017-02-10	2018-01-25
AGNC	0.05	0.606	2017-07-26	2017-02-02	2018-01-17
AGO	1.26	0.765	2017-08-02	2017-02-09	2018-01-24
AGR	0.39	0.398	2017-07-19	2017-01-26	2018-01-09
AHL	1.09	0.95	2017-07-26	2017-02-02	2018-01-17
AIG	1.22	1.196	2017-08-02	2017-02-09	2018-01-24
AIV	0.1	0.133	2017-07-27	2017-02-03	2018-01-18
AIZ	2.18	1.598	2017-08-01	2017-02-08	2018-01-23
AJG	0.39	1.029	2017-07-27	2017-02-03	2018-01-18
AKAM	0.33	0.604	2017-07-25	2017-02-01	2018-01-16
AL	0.98	0.855	2017-08-03	2017-02-10	2018-01-25
ALB	0.93	1.103	2017-08-07	2017-02-14	2018-01-29
ALGN	0.86	0.728	2017-07-27	2017-02-03	2018-01-18
ALK	2.37	2.518	2017-07-26	2017-02-02	2018-01-17
ALKS	-0.28	-0.006	2017-07-27	2017-02-03	2018-01-18
ALL	1.51	0.869	2017-08-01	2017-02-08	2018-01-23
ALLE	1.11	1.002	2017-07-27	2017-02-03	2018-01-18
ALLY	0.55	0.524	2017-07-27	2017-02-03	2018-01-18
ALNY	-1.34	-1.179	2017-08-09	2017-02-16	2018-01-31
ALSN	0.63	0.706	2017-07-31	2017-02-07	2018-01-22
ALXN	0.74	1.255	2017-07-27	2017-02-03	2018-01-18
AMAT	0.76	0.765	2017-05-18	2016-11-23	2017-11-07
AMCX	1.55	1.389	2017-08-03	2017-02-10	2018-01-25
AMD	-0.04	0.001	2017-07-25	2017-02-01	2018-01-16
AME	0.65	0.623	2017-08-02	2017-02-09	2018-01-24
AMG	2.24	3.241	2017-07-31	2017-02-07	2018-01-22
AMGN	2.93	3.108	2017-07-25	2017-02-01	2018-01-16
AMH	0	0.013	2017-08-03	2017-02-10	2018-01-25
AMP	2.53	2.624	2017-07-25	2017-02-01	2018-01-16
AMT	0.81	0.742	2017-07-27	2017-02-03	2018-01-18
AMTD	0.41	0.407	2017-04-19	2016-10-25	2017-10-09
AMZN	0.41	3.044	2017-07-27	2017-02-03	2018-01-18
AN	0.87	0.972	2017-08-02	2017-02-09	2018-01-24
ANET	1.42	0.948	2017-08-03	2017-02-10	2018-01-25
ANSS	0.82	0.914	2017-08-02	2017-02-09	2018-01-24
ANTM	3.23	3.233	2017-07-26	2017-02-02	2018-01-17
AON	2.93	1.446	2017-08-04	2017-02-13	2018-01-26
AOS	0.53	0.528	2017-07-26	2017-02-02	2018-01-17
APA	1.5	-0.021	2017-08-03	2017-02-10	2018-01-25
APC	-0.76	-0.332	2017-07-24	2017-01-31	2018-01-12
APD	9.78	1.378	2017-04-27	2016-11-02	2017-10-17
APH	0.82	0.721	2017-07-26	2017-02-02	2018-01-17
APLE	0.39	0.355	2017-08-07	2017-02-14	2018-01-29
AR	-0.02	0.029	2017-08-02	2017-02-09	2018-01-24
ARE	0.35	0.432	2017-07-31	2017-02-07	2018-01-22
ARMK	0.29	0.426	2017-05-09	2016-11-14	2017-10-27
ARNC	0.44	0.27	2017-07-24	2017-01-31	2018-01-12
ARRS	0.16	0.573	2017-08-02	2017-02-09	2018-01-24
ARW	1.12	1.772	2017-08-03	2017-02-10	2018-01-25
ASB	0.36	0.359	2017-07-20	2017-01-27	2018-01-10
ASH	1.48	1.611	2017-04-25	2016-10-31	2017-10-13
ATH	1.66564	1.077	2017-08-09	2017-02-16	2018-01-31
