Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
A	0.59	0.484	2017-05-22	2016-11-28	2017-11-09
AA	0.62	0.581	2017-07-19	2017-01-26	2018-01-09
AAL	1.92	1.872	2017-07-28	2017-02-06	2018-01-19
AAP	1.58	1.659	2017-08-15	2017-02-23	2018-02-06
AAPL	1.6656	2.022	2017-05-02	2016-11-07	2017-10-20
ABBV	1.42	1.399	2017-07-28	2017-02-06	2018-01-19
ABC	1.43	1.679	2017-05-04	2016-11-09	2017-10-24
ABMD	0.48	0.244	2016-10-27	2016-05-09	2017-04-21
ABT	0.62	0.605	2017-07-20	2017-01-27	2018-01-10
ACGL	0.4033	0.391	2017-07-26	2017-02-02	2018-01-17
ACHC	0.66	0.648	2017-07-27	2017-02-03	2018-01-18
ACM	0.78	0.608	2017-05-09	2016-11-14	2017-10-27
ACN	1.52	1.299	2017-03-23	2016-09-29	2017-09-13
ADBE	0.801	0.946	2017-06-20	2016-12-27	2017-12-08
ADI	1.26	0.844	2017-05-31	2016-12-06	2017-11-17
ADM	0.57	0.516	2017-08-01	2017-02-08	2018-01-23
ADNT	2.52	2.408	2017-04-28	2016-11-03	2017-10-18
ADP	0.66	0.813	2017-02-01	2016-08-10	2017-07-25
ADS	2.4677	3.728	2017-07-20	2017-01-27	2018-01-10
ADSK	-0.5836	-0.134	2016-08-25	2016-03-07	2017-02-16
AEE	0.7955	0.71	2017-08-04	2017-02-13	2018-01-26
AEP	0.75	0.816	2017-07-27	2017-02-03	2018-01-18
AES	0.25	0.208	2017-08-08	2017-02-15	2018-01-30
AFG	1.61	1.31	2017-08-01	2017-02-08	2018-01-23
AFL	0.915	0.821	2017-07-27	2017-02-03	2018-01-18
AGCO	1.15	1.039	2017-07-27	2017-02-03	2018-01-18
AGIO	-1.78	-1.558	2017-08-08	2017-02-15	2018-01-30
AGN	4.02	3.919	2017-08-03	2017-02-10	2018-01-25
AGNC	0.67	0.606	2017-07-26	2017-02-02	2018-01-17
AGO	1.16	0.765	2017-08-02	2017-02-09	2018-01-24
AGR	0.46	0.398	2017-07-19	2017-01-26	2018-01-09
AHL	0.47	0.95	2017-07-26	2017-02-02	2018-01-17
AIG	1.53	1.196	2017-08-02	2017-02-09	2018-01-24
AIV	0.0915	0.133	2017-07-27	2017-02-03	2018-01-18
AIZ	1.63	1.598	2017-08-01	2017-02-08	2018-01-23
AJG	1.0308	1.029	2017-07-27	2017-02-03	2018-01-18
AKAM	0.3557	0.604	2017-07-25	2017-02-01	2018-01-16
AL	0.92	0.855	2017-08-03	2017-02-10	2018-01-25
ALB	1.13	1.103	2017-08-07	2017-02-14	2018-01-29
ALGN	0.85	0.728	2017-07-27	2017-02-03	2018-01-18
ALK	2.51	2.518	2017-07-26	2017-02-02	2018-01-17
ALKS	-0.2833	-0.006	2017-07-27	2017-02-03	2018-01-18
ALL	1.38	0.869	2017-08-01	2017-02-08	2018-01-23
ALLE	1.11	1.002	2017-07-27	2017-02-03	2018-01-18
ALLY	0.58	0.524	2017-07-27	2017-02-03	2018-01-18
ALNY	-1.34	-1.179	2017-08-09	2017-02-16	2018-01-31
ALSN	0.6516	0.706	2017-07-31	2017-02-07	2018-01-22
ALXN	0.9009	1.255	2017-07-27	2017-02-03	2018-01-18
AMAT	0.86	0.765	2017-05-18	2016-11-23	2017-11-07
AMCX	1.88	1.389	2017-08-03	2017-02-10	2018-01-25
AMD	-0.0094	0.001	2017-07-25	2017-02-01	2018-01-16
AME	0.6498	0.623	2017-08-02	2017-02-09	2018-01-24
AMG	3.33	3.241	2017-07-31	2017-02-07	2018-01-22
AMGN	2.9212	3.108	2017-07-25	2017-02-01	2018-01-16
AMH	0.0151	0.013	2017-08-03	2017-02-10	2018-01-25
AMP	2.8	2.624	2017-07-25	2017-02-01	2018-01-16
AMT	0.8002	0.742	2017-07-27	2017-02-03	2018-01-18
AMTD	0.4358	0.407	2017-04-19	2016-10-25	2017-10-09
AMZN	0.4004	3.044	2017-07-27	2017-02-03	2018-01-18
AN	0.86	0.972	2017-08-02	2017-02-09	2018-01-24
ANET	1.1573	0.948	2017-08-03	2017-02-10	2018-01-25
ANSS	0.8212	0.914	2017-08-02	2017-02-09	2018-01-24
ANTM	3.37	3.233	2017-07-26	2017-02-02	2018-01-17
AON	1.53	1.446	2017-08-04	2017-02-13	2018-01-26
AOS	0.5283	0.528	2017-07-26	2017-02-02	2018-01-17
APA	-0.21	-0.021	2017-08-03	2017-02-10	2018-01-25
APC	-0.77	-0.332	2017-07-24	2017-01-31	2018-01-12
APD	1.65	1.378	2017-04-27	2016-11-02	2017-10-17
APH	0.81	0.721	2017-07-26	2017-02-02	2018-01-17
APLE	0.39	0.355	2017-08-07	2017-02-14	2018-01-29
AR	-0.04	0.029	2017-08-02	2017-02-09	2018-01-24
ARE	0.4312	0.432	2017-07-31	2017-02-07	2018-01-22
ARMK	0.323	0.426	2017-05-09	2016-11-14	2017-10-27
ARNC	0.32	0.27	2017-07-24	2017-01-31	2018-01-12
ARRS	0.2352	0.573	2017-08-02	2017-02-09	2018-01-24
ARW	1.78	1.772	2017-08-03	2017-02-10	2018-01-25
ASB	0.36	0.359	2017-07-20	2017-01-27	2018-01-10
ASH	0.83	1.611	2017-04-25	2016-10-31	2017-10-13
ATH	1.43	1.077	2017-08-09	2017-02-16	2018-01-31
ATHN	0.2894	0.392	2017-07-20	2017-01-27	2018-01-10
ATO	0.6657	1.425	2017-05-03	2016-11-08	2017-10-23
ATR	1.01	0.958	2017-07-27	2017-02-03	2018-01-18
ATVI	0.3325	0.304	2017-08-03	2017-02-10	2018-01-25
AVB	1.0517	1.1	2017-08-02	2017-02-09	2018-01-24
AVGO	1.1789	3.501	2017-06-01	2016-12-07	2017-11-20
AVT	0.84	0.751	2017-01-26	2016-08-04	2017-07-19
AVY	1.31	1.209	2017-07-25	2017-02-01	2018-01-16
AWI	0.73	0.666	2017-07-31	2017-02-07	2018-01-22
AWK	0.7318	0.792	2017-08-02	2017-02-09	2018-01-24
AXP	1.47	1.439	2017-07-19	2017-01-26	2018-01-09
AXS	1.31	1.193	2017-07-26	2017-02-02	2018-01-17
AXTA	0.31	0.389	2017-08-03	2017-02-10	2018-01-25
AYI	2.15	1.834	2017-04-04	2016-10-11	2017-09-25
AZO	11.436	8.188	2017-02-28	2016-09-06	2017-08-18
AZPN	0.7373	0.463	2017-01-26	2016-08-04	2017-07-19
BA	2.55	2.299	2017-07-26	2017-02-02	2018-01-17
BAC	0.4811	0.433	2017-07-18	2017-01-25	2018-01-08
BAH	0.53	0.426	2016-11-02	2016-05-13	2017-04-27
BAX	0.63	0.567	2017-07-26	2017-02-02	2018-01-17
BBT	0.78	0.768	2017-07-20	2017-01-27	2018-01-10
BBY	0.69	0.428	2016-08-23	2016-03-03	2017-02-14
BC	1.3479	1.334	2017-07-27	2017-02-03	2018-01-18
BDN	0.02	0.016	2017-07-20	2017-01-27	2018-01-10
BDX	2.46	2.233	2017-05-02	2016-11-07	2017-10-20
BEN	0.73	0.672	2017-04-28	2016-11-03	2017-10-18
BERY	0.93	0.651	2017-05-03	2016-11-08	2017-10-23
BFAM	0.5681	0.717	2017-08-01	2017-02-08	2018-01-23
BG	0.17	0.131	2017-08-02	2017-02-09	2018-01-24
BGCP	0.24	0.24	2017-07-26	2017-02-02	2018-01-17
BHGE	-0.11	-0.111	2017-07-28	2017-02-06	2018-01-19
BIIB	4.4985	4.402	2017-07-25	2017-02-01	2018-01-16
